2025-06-05 10:15:54,496 - INFO - 开始爬取分类: 性感美女 (xgmn)
2025-06-05 10:15:54,496 - INFO - 正在解析页面: https://www.3gbizhi.com/meinv/xgmn/
2025-06-05 10:15:57,025 - INFO - 页面 https://www.3gbizhi.com/meinv/xgmn/ 找到 25 个图片链接
2025-06-05 10:15:58,025 - INFO - 正在解析页面: https://www.3gbizhi.com/meinv/xgmn/index_2.html
2025-06-05 10:15:58,551 - INFO - 页面 https://www.3gbizhi.com/meinv/xgmn/index_2.html 找到 25 个图片链接
2025-06-05 10:15:59,552 - INFO - 正在解析页面: https://www.3gbizhi.com/meinv/xgmn/index_3.html
2025-06-05 10:16:00,093 - INFO - 页面 https://www.3gbizhi.com/meinv/xgmn/index_3.html 找到 25 个图片链接
2025-06-05 10:16:01,093 - INFO - 找到 75 个图片详情页
2025-06-05 10:16:14,527 - ERROR - 下载图片失败 https://pic.3gbizhi.com/uploads/20241224/d6ff0a0470794dc3c43b98082c302338.webp: HTTPSConnectionPool(host='pic.3gbizhi.com', port=443): Max retries exceeded with url: /uploads/20241224/d6ff0a0470794dc3c43b98082c302338.webp (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f6386f0bb30>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-05 10:16:15,529 - ERROR - 下载图片失败 https://pic.3gbizhi.com/uploads/20241224/db7b2f9de3a6c47cb75ed1a305610a81.webp: HTTPSConnectionPool(host='pic.3gbizhi.com', port=443): Max retries exceeded with url: /uploads/20241224/db7b2f9de3a6c47cb75ed1a305610a81.webp (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f6386f0a120>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-05 10:16:16,531 - ERROR - 下载图片失败 https://pic.3gbizhi.com/uploads/20241224/dad8eed0f97cd5e3d65e8924623c599d.webp: HTTPSConnectionPool(host='pic.3gbizhi.com', port=443): Max retries exceeded with url: /uploads/20241224/dad8eed0f97cd5e3d65e8924623c599d.webp (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f63865965d0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-05 10:16:17,541 - ERROR - 下载图片失败 https://pic.3gbizhi.com/uploads/20241224/26d5c643fb555f6d2594a293f3efb5d1.webp: HTTPSConnectionPool(host='pic.3gbizhi.com', port=443): Max retries exceeded with url: /uploads/20241224/26d5c643fb555f6d2594a293f3efb5d1.webp (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f6386596660>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-05 10:16:18,543 - ERROR - 下载图片失败 https://pic.3gbizhi.com/uploads/20241224/7c00eae72a94e1b725c03957f94adefa.webp: HTTPSConnectionPool(host='pic.3gbizhi.com', port=443): Max retries exceeded with url: /uploads/20241224/7c00eae72a94e1b725c03957f94adefa.webp (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f6386596a50>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-05 10:16:19,545 - ERROR - 下载图片失败 https://pic.3gbizhi.com/uploads/20241224/a39c5575bd396edf3167e2c2f2bf94b7.webp: HTTPSConnectionPool(host='pic.3gbizhi.com', port=443): Max retries exceeded with url: /uploads/20241224/a39c5575bd396edf3167e2c2f2bf94b7.webp (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f6386596e40>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-05 10:16:20,548 - ERROR - 下载图片失败 https://pic.3gbizhi.com/uploads/20241224/901634df76d70bf855c60481aa809822.webp: HTTPSConnectionPool(host='pic.3gbizhi.com', port=443): Max retries exceeded with url: /uploads/20241224/901634df76d70bf855c60481aa809822.webp (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f6386597230>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-05 10:16:21,550 - ERROR - 下载图片失败 https://pic.3gbizhi.com/uploads/20241224/80b5f80aa34dc137fe83d07397865d1a.webp: HTTPSConnectionPool(host='pic.3gbizhi.com', port=443): Max retries exceeded with url: /uploads/20241224/80b5f80aa34dc137fe83d07397865d1a.webp (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f6386597620>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-05 10:16:23,091 - ERROR - 下载图片失败 https://pic.3gbizhi.com/uploadmark/20250221/e08ffc174c81f4bd115fe65d4821030e.webp: HTTPSConnectionPool(host='pic.3gbizhi.com', port=443): Max retries exceeded with url: /uploadmark/20250221/e08ffc174c81f4bd115fe65d4821030e.webp (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f63865c9490>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-05 10:16:24,094 - ERROR - 下载图片失败 https://pic.3gbizhi.com/uploads/20250221/fa9648d04ee60580c94bf5f1246df887.webp: HTTPSConnectionPool(host='pic.3gbizhi.com', port=443): Max retries exceeded with url: /uploads/20250221/fa9648d04ee60580c94bf5f1246df887.webp (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f63865c9a00>: Failed to establish a new connection: [Errno 111] Connection refused'))
